,Player,Year,Round,Pick,Rookie_Contract
0,Brian Rimpf,2004,7,246,"3 yrs, $944,070"
1,Dwan Edwards,2004,2,51,"5 yrs, $3,545,000"
2,Devard Darling,2004,3,82,"3 yrs, $1,415,000"
3,Derek Abney,2004,7,244,"3 yrs, $945,000"
4,Josh Harris,2004,6,187,"3 yrs, $982,000"
5,Roderick Green,2004,5,153,"3 yrs, $1,035,000"
6,Clarence Moore,2004,6,199,"3 yrs, $969,500"
7,Mike Smith,2005,7,234,"3 yrs, $960,000"
8,Derek Anderson,2005,6,213,"3 yrs, $974,500"
9,Justin Green,2005,5,158,"3 yrs, $1,046,500"
10,Jason Brown,2005,4,124,"3 yrs, $1,234,500"
11,Domonique Foxworth,2005,3,97,"3 yrs, $1,355,300"
12,Dan Cody,2005,2,53,"4 yrs, $2,785,000"
13,Mark Clayton,2005,1,22,"5 yrs, $8,200,000"
14,Haloti Ngata,2006,1,12,"5 yrs, $13,950,000"
15,Chris Chester,2006,2,56,"4 yrs, $2,920,000"
16,David Pittman,2006,3,87,"3 yrs, $1,570,000"
17,Demetrius Williams,2006,4,111,"3 yrs, $1,415,000"
18,Quinn Sypniewski,2006,5,166,"3 yrs, $1,184,500"
19,Dawan Landry,2006,5,146,"3 yrs, $1,209,000"
20,Sam Koch,2006,6,203,"3 yrs, $1,344,900"
21,Derrick Martin,2006,6,208,"3 yrs, $1,129,950"
22,Ryan LaCasse,2006,7,219,"3 yrs, $1,212,200"
23,P.J. Daniels,2006,4,132,"3 yrs, $1,361,000"
24,Yamon Figurs,2007,3,74,"3 yrs, $1,639,500"
25,Ben Grubbs,2007,1,29,"5 yrs, $7,900,000"
26,Marshal Yanda,2007,3,86,"3 yrs, $1,617,700"
27,Troy Smith,2007,5,174,"3 yrs, $1,220,000"
28,LeRon McClain,2007,4,137,"3 yrs, $1,394,000"
29,Antwan Barnes,2007,4,134,"3 yrs, $1,402,000"
30,Prescott Burgess,2007,6,207,"3 yrs, $1,171,750"
31,Allen Patrick,2008,7,240,"3 yrs, $1,182,000"
32,Justin Harper,2008,7,215,"3 yrs, $1,194,000"
33,Haruki Nakamura,2008,6,206,"3 yrs, $1,203,300"
34,Jalen Parmele,2008,6,176,"4 yrs, $1,823,700"
35,David Hale,2008,4,133,"3 yrs, $1,444,500"
36,Marcus Smith,2008,4,106,"3 yrs, $1,519,125"
37,Oniel Cousins,2008,3,99,"3 yrs, $1,594,000"
38,Tom Zbikowski,2008,3,86,"3 yrs, $1,660,000"
39,Tavares Gooden,2008,3,71,"3 yrs, $1,176,000"
40,Ray Rice,2008,2,55,"4 yrs, $3,159,000"
41,Joe Flacco,2008,1,18,"5 yrs, $29,750,000"
42,Paul Kruger,2009,2,57,"4 yrs, $3,250,000"
43,Michael Oher,2009,1,23,"5 yrs, $13,795,000"
44,Lardarius Webb,2009,3,88,"3 yrs, $1,714,520"
45,Davon Drew,2009,5,149,"3 yrs, $1,185,000"
46,Jason Phillips,2009,5,137,"3 yrs, $1,341,050"
47,Cedric Peerman,2009,6,185,"3 yrs, $1,200,000"
48,Ramon Harewood,2010,6,194,"3 yrs, $1,289,171"
49,Arthur Jones,2010,5,157,"3 yrs, $1,348,580"
50,David Reed,2010,5,156,"3 yrs, $1,348,900"
51,Dennis Pitta,2010,4,114,"3 yrs, $1,586,000"
52,Ed Dickson,2010,3,70,"3 yrs, $1,877,500"
53,Terrence Cody,2010,2,57,"4 yrs, $3,384,500"
54,Sergio Kindle,2010,2,43,"1 yrs, $320,000"
55,Jimmy Smith,2011,1,27,"4 yrs, $7,461,696"
56,Torrey Smith,2011,2,58,"4 yrs, $3,389,232"
57,Jah Reid,2011,3,85,"4 yrs, $2,603,240"
58,Pernell McPhee,2011,5,165,"4 yrs, $2,184,560"
59,Chykie Brown,2011,5,164,"4 yrs, $2,184,560"
60,Anthony Allen,2011,7,225,"4 yrs, $2,090,000"
61,Tandon Doss,2011,4,123,"4 yrs, $2,452,560"
62,Tyrod Taylor,2011,6,180,"4 yrs, $2,145,308"
63,Bernard Pierce,2012,3,84,"4 yrs, $2,655,944"
